Name,Cycle_Number,Total_10Day_Quantity,Max_Stock,Utilization_Rate,GroupName,Stock_Class,Storage Unit,Family,Site,Item Id,Demanded,Delivered,satisfaction_rate (%),Weekend,Month,Date_week,days_since_start,Inventory_Cycle,Cycle_Start_Day,Cycle_End_Day
BLOUSE NON TISSEE,1,2.0,36.0,0.056,Hygiène,C,PC (1 KG),CONSO/HYG,Economat,12883,2,2,92.7710843373494,1,2024-01,mardi,1,1,1,10
BOGA LIME BOITE 24CL,1,609.0,1322.0,0.461,Eaux et Sodas,A,BTE (1 PC),LIQUIDES,Economat,12552,37,37,90.8502024291498,1,2024-01,mardi,1,1,1,10
BOITE A CREPE,1,500.0,3150.0,0.159,Consommable,B,PC (1 PC),CONSO/HYG,Economat,12553,1,1,85.5072463768116,0,2024-01,mardi,8,1,8,17
BOITE PIZZA 32 cm,1,200.0,200.0,1.0,Consommable,C,PC (1 PC),CONSO/HYG,Economat,12470,2,2,26.15384615384616,1,2024-01,vendredi,4,1,4,13
BOITE PIZZA PM CIG,1,200.0,500.0,0.4,Consommable,B,PC (1 PC),CONSO/HYG,Economat,12884,1,1,49.494949494949495,1,2024-01,samedi,5,1,5,14
BON DE TRANSFERT 50*3,1,6.0,15.0,0.4,Fournitures de Bureau,B,PC,FOURNITURE DE BUREAU,Economat,12098,4,4,82.5136612021858,1,2024-01,mardi,1,1,1,10
BRIOCHE TORSADEE PUR BEURRE PEPITE CHOCO GF,1,300.0,1500.0,0.2,Viennoiserie,B,PC (1 PC),SOLIDES,Economat,17367,3,3,100.0,1,2024-01,jeudi,3,1,3,12
CACAHUETES GRILLEES SALEES 70GR,1,12.0,60.0,0.2,Fruits Secs,C,PC,SOLIDES,Economat,12892,1,1,83.63636363636363,1,2024-01,dimanche,6,1,6,15
CAKE CHOCOLAT PBC,1,48.0,88.0,0.545,Viennoiserie,B,PC (1 PC),SOLIDES,Economat,16265,2,2,59.85401459854016,1,2024-01,vendredi,4,1,4,13
CAKE CITRON PBC,1,108.0,216.0,0.5,Pâtisseries,B,PC (1 PC),SOLIDES,Economat,17773,3,3,59.0,1,2024-01,jeudi,3,1,3,12
CAKE MARBRE PBC,1,209.0,363.0,0.576,Viennoiserie,A,PC (1 PC),SOLIDES,Economat,14743,4,4,65.50218340611353,1,2024-01,mardi,1,1,1,10
CAPRE VRAC,1,2.0,9.0,0.222,Legumes Frais,B,KG (1 KG),SOLIDES,Economat,12561,2,2,48.87218045112782,1,2024-01,vendredi,4,1,4,13
CAROTTE,1,10.0,67.1,0.149,Legumes Frais,A,KG (1 KG),SOLIDES,Economat,12054,2,2,77.54569190600522,0,2024-01,mardi,8,1,8,17
CAROTTE CAKE PBC,1,110.0,330.0,0.333,Viennoiserie,B,PC (1 PC),SOLIDES,Economat,16270,2,2,67.2514619883041,1,2024-01,vendredi,4,1,4,13
CELTIA FUT DE 50L,1,2.0,6.0,0.333,Alcools,B,PC (50 L),LIQUIDES,Economat,15470,2,2,78.16901408450704,1,2024-01,dimanche,6,1,6,15
