Site,Item Id,Name,Physical Storage Quantity,Storage Unit,Family,GroupName,From,To,Delivery date,Date_week,Month,Week_iso,Demanded,Delivered,Cycle,DispatchFlag,flow,Stock_Class_x,Stock_Class_y,Stock_Class,satisfaction_rate (%),days_since_start,Inventory_Cycle,Max_Stock,Weekend
Economat,13633,PAIN DE MIE NATURE,52.0,PC,SOLIDES,Boulangerie_R,Economat AC,AC,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → AC,B,B,B,80.26315789473685,0,1,52.0,0
Economat,13550,FROMAGE BUCHE BLANCHE CHEVRE KG,0.11,KG (1 KG),SOLIDES,Beurre Oeuf Fromage,Economat AC,AC,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → AC,B,B,B,40.54054054054054,0,1,3.0,0
Economat,14337,LAVETTE COTON,6.0,PC (1 PC),CONSO/HYG,Hygiène,Economat AC,AC,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → AC,A,A,A,86.58536585365853,0,1,50.0,0
Economat,14862,LAIT UHT DEMI ECREME,18.0,PQT (1 L),LIQUIDES,Jus Fruit Lait,Economat AC,AC,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → AC,A,A,A,87.52136752136752,0,1,82.0,0
Economat,12802,ROULEAU CAISSE 80*80,10.0,PC (1 PC),FOURNITURE DE BUREAU,Fournitures de Bureau,Economat AC,AC,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → AC,A,A,A,74.3859649122807,0,1,60.0,0
Economat,13489,PAPRIKA DOUX,1.0,KG (1 KG),SOLIDES,Fruits & Legumes Frais,Economat AC,PLAN B,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → PLAN B,C,C,C,55.319148936170215,0,1,1.0,0
Economat,13087,SANIT SURF,1.0,PC (1 PC),CONSO/HYG,Hygiène,Economat AC,PLAN B,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → PLAN B,A,A,A,60.243277848911646,0,1,5.0,0
Economat,13623,PAIN HAMBURGER AC,30.0,PC (1 PC),SOLIDES,Boulangerie_R,Economat AC,PLAN B,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → PLAN B,A,A,A,85.33501896333755,0,1,125.0,0
Economat,12067,KIWI,40.0,PC (1 PC),SOLIDES,Fruits & Legumes Frais,Economat AC,MAISON FONDANT,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → MAISON FONDANT,A,A,A,80.87818696883853,0,1,109.0,0
Economat,13087,SANIT SURF,1.0,PC (1 PC),CONSO/HYG,Hygiène,Economat AC,MAISON FONDANT,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → MAISON FONDANT,A,A,A,60.243277848911646,0,1,5.0,0
Economat,13786,JUS CITRONADE  CLASSIQUE 250 ml,10.0,PC (1 PC),LIQUIDES,Jus Fruit Lait,Economat AC,AC,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → AC,A,A,A,86.39281129653402,0,1,80.0,0
Economat,12976,JOUR ET NUIT ROSE 1/2,6.0,PC (1 PC),LIQUIDES,Alcools,Economat AC,AC,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → AC,B,B,B,60.86956521739131,0,1,24.0,0
Economat,12435,JUS FRAISE  MINI CAMAROSA 250 ml,10.0,PC (1 PC),LIQUIDES,Jus Fruit Lait,Economat AC,AC,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → AC,A,A,A,74.16020671834626,0,1,60.0,0
Economat,12940,ESSUIT TOUT JUMBO,3.0,PC (1 KG),CONSO/HYG,Hygiène,Economat AC,MAISON FONDANT,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → MAISON FONDANT,A,A,A,74.55101260985862,0,1,13.0,0
Economat,16339,FORTE NSPRS,50.0,PC (1 PC),LIQUIDES,Cafe,Economat AC,MAISON FONDANT,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → MAISON FONDANT,A,A,A,80.0,0,1,1500.0,0
Economat,16340,INTENSO NSPRS,50.0,PC,LIQUIDES,Cafe,Economat AC,MAISON FONDANT,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → MAISON FONDANT,A,A,A,68.36461126005362,0,1,2000.0,0
Economat,13092,SERVIETTE EN PAPIER 30*30,24.0,PC (1 PC),CONSO/HYG,Consommable,Economat AC,AC,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → AC,A,A,A,77.73212818405916,0,1,72.0,0
